Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities,Listing_Type,Area_SqFt,Build_Area_SqFt,Price_per_SqFt,Neighborhood,Road_Width_Feet,Year_AD,Property_Age,Age_Unknown,Amenity_Count,Log_Price,Log_Area,Neighborhood_Freq,Neighborhood_MedianPPSF,Predicted_Price,Value_Gap_Pct
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000,4,4,0.0,3,South,,404,6 Aana,13 Feet,13 Feet,Unknown,N/A Aana,1 month ago,['Parking'],Sale,2053.5,,9009.009009009009,Thankot,13.0,,2.0,1,1,16.733281344102608,7.627787788323465,0.005807200929152149,4704.1636230825425,21528945.947866336,-14.069179026233398
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000,7,4,0.0,3,East,,164,10 Aana,0 Feet,0 Feet,Unknown,N/A Aana,1 month ago,[],Sale,3422.5,,18115.412710007306,Kalanki,0.0,,2.0,1,0,17.9426449591384,8.138418698561118,0.012195121951219513,2045.2885317750183,53144387.99613445,16.66330601927277
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000,0,0,0.0,0,North,,460,0-4-0-0 Aana,10 Feet,10 Feet,Unknown,N/A Aana,1 month ago,[],Sale,1369.0,,7669.831994156319,Kavresthali,10.0,,2.0,1,0,16.166885910365842,7.222566018822171,0.004645760743321719,4449.719990260531,4179334.4279825143,151.23617602118176
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3.0,1,East,2076.0,3.2K,0-3-2-0 Aana,10 Feet / Gravelled,10 Feet ,Gravelled,2100 Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",Sale,1197.875,2100.0,17113.638735260356,Sipadol,10.0,2019.0,1.0,0,13,16.835935492889124,7.089138896048115,0.0011614401858304297,17809.315106612405,21558809.253182787,-4.91126036112812
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,0,0,0.0,0,East,,720,0-3-2-0 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,N/A Sq. Feet,1 month ago,[],Sale,1197.875,,18365.856203694042,Radhe Radhe,20.0,,2.0,1,0,16.906553056777135,7.089138896048115,0.0005807200929152149,18365.856203694042,9447411.79930728,132.86801155013825
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,145000000,95,40,5.0,7,East,2073.0,169,21 Aana,20 Feet / Blacktopped,20 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",Sale,7187.25,,20174.614769209365,Balaju,20.0,2016.0,4.0,0,2,18.7922443072814,8.880203027487838,0.007549361207897794,8249.903321445452,111496636.21596695,30.04876642120184
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3.0,4,South,2071.0,253,19 Aana,20 Feet / Gravelled,20 Feet ,Gravelled,N/A Aana,1 month ago,"['Parking', 'Garden']",Sale,6502.75,,8457.960093806467,Budhanilkantha,20.0,2014.0,6.0,0,2,17.822843761378564,8.780134212604514,0.11382113821138211,13184.806428049671,93175535.40434314,-40.971629772425956
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075.0,510,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,2100 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",Sale,1369.0,2100.0,17531.044558071586,Sitapaila,13.0,2018.0,2.0,0,9,16.993564429978885,7.222566018822171,0.013937282229965157,14791.8188458729,25653508.924967594,-6.445546805327268
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3.0,3,South East,,178,6.1 Aana,32 Feet,32 Feet,Unknown,N/A Aana,1 month ago,"['Parking', 'Garage']",Sale,2087.725,,17722.640673460348,Dhapasi,32.0,,2.0,1,2,17.426428497635523,7.6443091109570664,0.015098722415795587,15555.54898371399,37032673.874554105,-0.08822985524832971
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3.0,4,East,2070.0,208,19 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Air Condition', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well']",Sale,6502.75,,15762.56199300296,Golfutar,13.0,2013.0,7.0,0,13,18.445373366298835,8.780134212604514,0.018002322880371662,15420.826231637042,98881193.20273755,3.6597523553773796
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet ,Gravelled,2700 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",Sale,1540.125,924075.0,14284.554825095365,Imadol,13.0,2019.0,1.0,0,13,16.906553056777135,7.340267948188717,0.050522648083623695,16278.8270896379,23138747.630554054,-4.92138835141782
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,6.5 Aana,16 Feet / Blacktopped,16 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",Sale,2224.625,,26296.566837107377,Pepsicola,16.0,2019.0,1.0,0,2,17.8845373292961,7.7077930540320425,0.009291521486643438,3246.4897329762193,48543003.30971361,20.511703049683298
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet ,Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",Sale,1026.75,,18018.018018018018,Imadol,13.0,2019.0,1.0,0,7,16.733281344102608,6.935127225777988,0.050522648083623695,16278.8270896379,18796602.543520007,-1.5779582657731883
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet ,Gravelled,112 Sq. Meter,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",Sale,1197.875,1205.5567999999998,17531.044558071586,Imadol,13.0,2019.0,1.0,0,10,16.860033043306743,7.089138896048115,0.050522648083623695,16278.8270896379,19512412.0766587,7.623803338597974
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000,5,3,3.0,1,South,,157,3-0-2 Aana,13 Feet,13 Feet,Unknown,3-0-2 Aana,1 month ago,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",Sale,1069.53125,1069.53125,16362.308254200147,Imadol,13.0,,2.0,1,8,16.677711496036597,6.975910299570031,0.050522648083623695,16278.8270896379,18256722.94056108,-4.144900171979179
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3.0,3,East,2074.0,566,10 Aana,15 Feet / Blacktopped,15 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",Sale,3422.5,,37983.92987582177,Baluwatar,15.0,2017.0,3.0,0,17,18.683045016112164,8.138418698561118,0.02032520325203252,19576.333089846605,79981594.12089287,62.537395545660026
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4.0,4,East,2076.0,96,21 Aana,15 Feet / Blacktopped,15 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",Sale,7187.25,,14609.203798392988,Budhanilkantha,15.0,2019.0,1.0,0,2,18.46947091764561,8.880203027487838,0.11382113821138211,13184.806428049671,103949724.17547743,1.0103690345051808
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,5,5,3.0,4,South,2070.0,345,4 Ropani,15 Feet / Gravelled,15 Feet ,Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Backyard', 'Deck', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Kids Playground', 'Store Room']",Sale,21904.0,,4793.644996347699,Budhanilkantha,15.0,2013.0,7.0,0,19,18.46947091764561,9.994470200248,0.11382113821138211,13184.806428049671,108504662.69655739,-3.2299650627535503
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,27500000,6,5,3.0,1,East,2076.0,971,4 ana Aana,16 Feet / Blacktopped,16 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1369.0,,20087.65522279036,Kapan,16.0,2019.0,1.0,0,1,17.129696599000436,7.222566018822171,0.023228803716608595,14052.66270131135,27463510.230753828,0.13286637046603994
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4.0,2,East,2074.0,151,7 Aana,15 Feet / Blacktopped,15 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,2395.75,,16696.23291244913,Mandikatar,15.0,2017.0,3.0,0,1,17.50439003707821,7.781868931957106,0.008130081300813009,18691.53373076651,42802021.86804284,-6.546470810844821
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3.0,2,West,2075.0,282,5 Aana,14 Feet / Blacktopped,14 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1711.25,,15485.756026296567,Hattigauda,14.0,2018.0,2.0,0,1,17.0926553286923,7.445563574078014,0.022067363530778164,14609.203798392988,29050652.668725736,-8.780018465718062
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,3.1 Aana,18 Feet / Blacktopped,18 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1060.9750000000001,,21206.90873960272,Budhanilkantha,18.0,2013.0,7.0,0,1,16.929025911619092,6.967885661035161,0.11382113821138211,13184.806428049671,21458963.16522976,4.85129140096128
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,60000000,6,6,3.0,4,South East,2070.0,157,11 Aana,15 Feet / Soil Stabilized,15 Feet ,Soil Stabilized,N/A Aana,1 month ago,['Parking'],Sale,3764.75,,15937.313234610532,Budhanilkantha,15.0,2013.0,7.0,0,1,17.909855136853043,8.233702323582925,0.11382113821138211,13184.806428049671,55631075.228066966,7.853389052830721
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,250000000,6,5,3.0,10,East,,339,30 Aana,15 Feet,15 Feet,Unknown,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Solar Water']",Sale,10267.5,,24348.672997321646,Baluwatar,15.0,,2.0,1,8,19.33697147982652,9.236836235780148,0.02032520325203252,19576.333089846605,181675991.13036248,37.60761586852238
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4.0,3,East,2069.0,71,9 Aana,13 Feet / Paved,13 Feet ,Paved,N/A Aana,1 month ago,['Parking'],Sale,3080.25,,12985.958931904877,Tokha,13.0,2012.0,8.0,0,1,17.50439003707821,8.033090637791,0.020905923344947737,15806.346887427968,45215491.86846409,-11.53474540017484
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,30000000,6,5,3.0,1,East,2076.0,136,3.5 Aana,15 Feet / Blacktopped,15 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",Sale,1197.875,,25044.349368673695,Sukedhara,15.0,2019.0,1.0,0,9,17.216707972959764,7.089138896048115,0.013356562137049941,20452.885317750184,28108432.241260987,6.729538461993406
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,65000000,6,6,3.0,4,East,2070.0,108,12 Aana,14 Feet / Gravelled,14 Feet ,Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",Sale,4107.0,,15826.637448259069,Maligaon,14.0,2013.0,7.0,0,10,17.989897843244528,8.32069157104845,0.0023228803716608595,15826.637448259069,63819257.22857876,1.8501355589147988
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3.0,2,North,2070.0,150,5 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garden']",Sale,1711.25,,19284.149013878745,Budhanilkantha,13.0,2013.0,7.0,0,2,17.312018149733785,7.445563574078014,0.11382113821138211,13184.806428049671,31516461.523270078,4.707186038745359
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2.0,1,West,2070.0,112,4 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1369.0,,22279.035792549304,Budhanilkantha,13.0,2013.0,7.0,0,1,17.233237274364523,7.222566018822171,0.11382113821138211,13184.806428049671,28626617.025011595,6.544199663381796
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,14000000,2,2,1.0,1,South West,2076.0,1.7K,3.1 ana Aana,13 Feet / Gravelled,13 Feet ,Gravelled,N/A Aana,1 month ago,['Parking'],Sale,1060.9750000000001,,13195.409882419472,Mandikatar,13.0,2019.0,1.0,0,1,16.454567959008102,6.967885661035161,0.008130081300813009,18691.53373076651,12414395.635192264,12.772304116946886
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3.0,1,South East,2076.0,100,4 Aana,13 Feet / Blacktopped,13 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1369.0,,20452.885317750184,Budhanilkantha,13.0,2019.0,1.0,0,1,17.147715103853763,7.222566018822171,0.11382113821138211,13184.806428049671,28137388.90429038,-0.4882787978575823
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4.0,3,South East,2075.0,67,4 Aana,26 Feet / Blacktopped,26 Feet ,Blacktopped,N/A Aana,1 month ago,['Parking'],Sale,1369.0,,29948.867786705625,Tokha,26.0,2018.0,2.0,0,1,17.529082649058825,7.222566018822171,0.020905923344947737,15806.346887427968,33521123.876117922,22.31093489443053
